room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,description,latitude,longitude,listed
6259261,32519496,Entire home/apt,Aalborg,28,4.5,3,1,69,1,Dejlig 2-værelses i Aalborg midtby,57.052218,9.913758,20/04/2018
4285444,102003,Entire home/apt,København,29,5,4,2,208,1,BIG apartment in the Heart of CPH,55.684636,12.56627,20/04/2018
544949,2389205,Entire home/apt,Næstved,18,4.5,15,5,46,1,BNB Fensmark by Næstved,55.275947,11.803327,20/04/2018
15432517,40605458,Entire home/apt,København,30,5,8,4,387,1,"Extraordinary apartment in city centre, 275m2",55.684769,12.58857,20/04/2018
16425595,107680321,Entire home/apt,Aarhus,16,4.5,4,2,118,1,Cosy apartment in the very middle of Aarhus,56.159268,10.206751,20/04/2018
1149176,6239445,Entire home/apt,København,21,5,3,1,93,1,Cozy room for 2 in lovely Nørrebro,55.700743,12.548767,20/04/2018
6763690,35408320,Entire home/apt,Aarhus,16,5,4,3,108,1,Super centralt i Århus,56.149538,10.196588,20/04/2018
17116393,3555595,Entire home/apt,København,13,5,4,2,80,1,Prime location in the heart of Copenhagen,55.666931,12.554191,21/04/2018
5349717,27726976,Entire home/apt,Aarhus,24,4.5,4,1,62,1,3 vær. lejlighed i hjertet af Århus,56.154838,10.19444,21/04/2018
5862089,5207209,Entire home/apt,Holbæk,21,4.5,2,1,39,1,Fredeligt bondehus med have i skøn natur,55.574953,11.652822,21/04/2018
13292262,75009436,Entire home/apt,København,13,5,6,2,116,1,perfect location close to kongens nytorv,55.68473,12.587426,21/04/2018
13800854,81157371,Entire home/apt,København,14,4.5,2,1,44,1,Cosy apartment in cosy and trendy area,55.693667,12.567512,21/04/2018
14240426,4523263,Entire home/apt,Kolding,21,5,5,1,55,1,Bright apartment in green surroundings,55.440543,9.530796,21/04/2018
12180188,2235318,Entire home/apt,København,13,5,3,2,310,1,"Modern Nordic styled, best location, Kids friendly",55.68846,12.56351,21/04/2018
13230076,8493781,Private room,Kerteminde,14,4.5,1,1,21,1,Værelse i Kerteminde / Munkebo.,55.442998,10.518196,21/04/2018
14657862,91044411,Private room,Vordingborg,15,5,3,1,31,1,Dalhøjgaard - private room on idyllic farm,54.934409,12.262503,21/04/2018
3680216,18706430,Entire home/apt,Svendborg,15,4.5,4,2,77,1,"Summerhouse in DK Island, Drejø",54.978448,10.369487,21/04/2018
9182609,47778710,Entire home/apt,Nordfyns,20,4.5,4,2,56,1,Sommerhus ved Hasmark - Enebærodde,55.548472,10.486427,21/04/2018
13661399,79411119,Private room,Odense,14,4.5,2,1,30,1,Lyst værelse nær station og centrum,55.39565,10.370819,21/04/2018
2956997,6857769,Entire home/apt,København,14,5,2,1,310,1,Penthouse - Central Copenhagen,55.681915,12.568651,21/04/2018
3509355,437251,Entire home/apt,København,13,4.5,4,1,171,1,Penthouse in Nørrebro,55.688126,12.545441,21/04/2018
503258,2482479,Entire home/apt,Lejre,21,4.5,5,2,46,1,2 bnb rooms by the Danish fjords  ,55.722727,11.930408,21/04/2018
13167616,71636215,Entire home/apt,København,13,5,6,2,387,1,New yorker inspired designer loft in CPH 130 kvm,55.706131,12.576206,21/04/2018
15373730,77942596,Entire home/apt,København,14,5,2,1,108,1,Charming apartment 7 mins away from central CPH,55.65045,12.524406,21/04/2018
9382943,16295849,Entire home/apt,København,15,5,2,1,209,1,Luxury apt. in the heart of CPH!,55.670724,12.576188,21/04/2018
4111124,1353677,Entire home/apt,København,21,4.5,4,2,194,1,Bright and green apartment,55.679477,12.567867,21/04/2018
920402,4946465,Entire home/apt,København,14,5,6,3,206,1,Cosy house and annex in Valby,55.663666,12.498679,21/04/2018
2939101,15006778,Entire home/apt,København,15,5,2,1,108,1,"Cozy apartment on Nørrebro, Cph",55.693976,12.547883,21/04/2018
11579478,61206219,Private room,Viborg,23,4.5,2,1,39,1,Viborg midtby. 5 min. til tog/bus.,56.44832,9.399918,22/04/2018
